iter	Passed	Remaining
423	1855	2521
424	1860	2517
425	1863	2510
426	1866	2504
427	1869	2498
428	1872	2491
429	1877	2488
430	1880	2482
431	1883	2476
432	1886	2470
433	1891	2466
434	1894	2460
435	1897	2454
436	1900	2448
437	1903	2442
438	1908	2439
439	1912	2433
440	1915	2427
441	1918	2422
442	1924	2419
443	1927	2414
444	1931	2408
445	1934	2403
446	1940	2400
447	1946	2397
448	1950	2393
449	1957	2392
450	1961	2388
451	1965	2382
452	1969	2378
453	1976	2376
454	1980	2372
455	1985	2368
456	1992	2367
457	1996	2362
458	2001	2359
459	2008	2357
460	2012	2352
461	2027	2360
462	2031	2356
463	2040	2356
464	2048	2357
465	2062	2363
466	2069	2361
467	2078	2362
468	2085	2361
469	2090	2357
470	2094	2352
471	2101	2350
472	2105	2346
473	2109	2341
474	2113	2336
475	2120	2334
476	2126	2331
477	2130	2326
478	2136	2323
479	2140	2318
480	2144	2314
481	2152	2313
482	2156	2308
483	2160	2303
484	2169	2303
485	2173	2298
486	2177	2293
487	2183	2290
488	2187	2285
489	2191	2280
490	2199	2279
491	2203	2274
492	2206	2269
493	2210	2264
494	2214	2258
495	2217	2252
496	2220	2247
497	2226	2244
498	2235	2244
499	2239	2239
500	2244	2235
501	2247	2229
502	2251	2224
503	2254	2218
504	2268	2223
505	2272	2218
506	2279	2216
507	2282	2210
508	2287	2206
509	2293	2203
510	2297	2198
511	2301	2193
512	2304	2187
513	2309	2183
514	2312	2177
515	2316	2172
516	2319	2166
517	2324	2162
518	2328	2157
519	2333	2154
520	2340	2152
521	2346	2148
522	2353	2146
523	2368	2151
524	2375	2149
525	2378	2143
526	2382	2138
527	2386	2133
528	2392	2130
529	2396	2125
530	2400	2119
531	2404	2115
532	2413	2114
533	2421	2113
534	2427	2109
535	2432	2105
536	2439	2103
537	2443	2098
538	2462	2106
539	2472	2105
540	2476	2101
541	2481	2096
542	2489	2094
543	2493	2090
544	2498	2086
545	2503	2081
546	2507	2076
547	2510	2070
548	2513	2065
549	2519	2061
550	2522	2055
551	2525	2050
552	2529	2044
553	2534	2040
554	2537	2034
555	2541	2029
556	2545	2024
557	2550	2020
558	2554	2015
559	2557	2009
560	2561	2004
561	2566	1999
562	2570	1995
563	2574	1989
564	2577	1984
565	2582	1980
566	2585	1974
567	2589	1969
568	2592	1963
569	2598	1960
570	2601	1954
571	2605	1949
572	2609	1944
573	2615	1940
574	2618	1935
575	2623	1931
576	2627	1925
577	2633	1922
578	2637	1917
579	2641	1912
580	2648	1909
581	2654	1906
582	2658	1901
583	2665	1898
584	2669	1893
585	2673	1888
586	2678	1884
587	2683	1879
588	2686	1874
589	2690	1869
590	2696	1865
591	2699	1860
592	2702	1855
593	2706	1849
594	2712	1846
595	2715	1840
596	2718	1834
597	2721	1829
598	2726	1825
599	2730	1820
600	2733	1814
601	2736	1808
602	2739	1803
603	2743	1798
604	2746	1793
605	2749	1787
606	2752	1782
607	2758	1778
608	2761	1772
609	2764	1767
610	2768	1762
611	2774	1758
612	2778	1754
613	2782	1749
614	2788	1745
615	2791	1740
616	2794	1734
617	2797	1729
618	2801	1724
619	2806	1720
620	2810	1715
621	2813	1709
622	2816	1704
623	2822	1700
624	2825	1695
625	2828	1690
626	2832	1685
627	2837	1681
628	2841	1675
629	2845	1670
630	2848	1665
631	2853	1661
632	2856	1656
633	2864	1653
634	2872	1651
635	2876	1646
636	2880	1641
637	2885	1637
638	2888	1631
639	2892	1626
640	2895	1621
641	2899	1617
642	2903	1612
643	2906	1606
644	2909	1601
645	2912	1596
646	2917	1591
647	2921	1587
648	2925	1582
649	2928	1576
650	2932	1572
651	2936	1567
652	2939	1562
653	2942	1556
654	2945	1551
655	2951	1547
656	2954	1542
657	2958	1537
658	2961	1532
659	2966	1528
660	2970	1523
661	2973	1518
662	2976	1513
663	2982	1509
664	2986	1504
665	2989	1499
666	2992	1494
667	2998	1490
668	3001	1484
669	3004	1479
670	3007	1474
671	3010	1469
672	3014	1464
673	3018	1459
674	3021	1454
675	3024	1449
676	3030	1445
677	3033	1440
678	3036	1435
679	3039	1430
680	3045	1426
681	3049	1422
682	3053	1417
683	3056	1412
684	3063	1408
685	3066	1403
686	3069	1398
687	3074	1394
688	3078	1389
689	3081	1384
690	3084	1379
691	3087	1374
692	3092	1370
693	3096	1365
694	3099	1360
695	3102	1355
696	3107	1351
697	3111	1346
698	3115	1341
699	3118	1336
700	3122	1332
701	3126	1327
702	3129	1322
703	3132	1317
704	3135	1312
705	3140	1307
706	3143	1302
707	3146	1297
708	3149	1292
709	3153	1288
710	3157	1283
711	3162	1279
712	3166	1274
713	3170	1269
714	3173	1265
715	3177	1260
716	3180	1255
717	3183	1250
718	3187	1245
719	3190	1240
720	3194	1236
721	3197	1231
722	3201	1226
723	3205	1221
724	3208	1217
725	3211	1212
726	3214	1207
727	3219	1202
728	3222	1197
729	3225	1193
730	3228	1188
731	3233	1183
732	3237	1179
733	3240	1174
734	3244	1169
735	3248	1165
736	3253	1160
737	3256	1156
738	3259	1151
739	3262	1146
740	3268	1142
741	3272	1137
742	3275	1132
743	3278	1127
744	3283	1123
745	3286	1119
746	3289	1114
747	3293	1109
748	3297	1105
749	3300	1100
750	3303	1095
751	3307	1090
752	3310	1085
753	3315	1081
754	3318	1076
755	3321	1071
756	3324	1067
757	3328	1062
758	3331	1057
759	3334	1052
760	3337	1048
761	3340	1043
762	3345	1039
763	3349	1034
764	3352	1029
765	3356	1025
766	3360	1020
767	3364	1016
768	3367	1011
769	3370	1006
770	3373	1002
771	3378	997
772	3381	993
773	3384	988
774	3388	983
775	3391	978
776	3395	974
777	3398	969
778	3401	965
779	3405	960
780	3409	956
781	3412	951
782	3415	946
783	3419	942
784	3422	937
785	3426	932
786	3429	928
787	3432	923
788	3437	919
789	3442	914
790	3445	910
791	3448	905
792	3452	901
793	3458	897
794	3462	892
795	3466	888
796	3470	883
797	3476	879
798	3479	875
799	3483	870
800	3487	866
801	3492	862
802	3497	857
803	3501	853
804	3506	849
805	3510	844
806	3514	840
807	3518	835
808	3523	831
809	3527	827
810	3530	822
811	3533	818
812	3537	813
813	3540	809
814	3544	804
815	3547	799
816	3550	795
817	3554	790
818	3559	786
819	3563	782
820	3566	777
821	3571	773
822	3574	768
823	3577	764
824	3580	759
825	3583	754
826	3591	751
827	3594	746
828	3597	742
829	3600	737
830	3605	733
831	3608	728
832	3611	723
833	3613	719
834	3617	714
835	3621	710
836	3624	705
837	3627	701
838	3630	696
839	3635	692
840	3640	688
841	3643	683
842	3646	679
843	3651	674
844	3656	670
845	3660	666
846	3663	661
847	3668	657
848	3671	652
849	3674	648
850	3677	643
851	3680	639
852	3684	635
853	3688	630
854	3691	626
855	3694	621
856	3698	617
857	3701	612
858	3705	608
859	3708	603
860	3711	599
861	3715	594
862	3719	590
863	3722	585
864	3725	581
865	3729	577
866	3733	572
867	3736	568
868	3740	563
869	3747	560
870	3753	555
871	3757	551
872	3762	547
873	3767	543
874	3772	538
875	3776	534
876	3783	530
877	3787	526
878	3791	521
879	3799	518
880	3803	513
881	3807	509
882	3814	505
883	3819	501
884	3823	496
885	3831	492
886	3837	488
887	3841	484
888	3850	480
889	3855	476
890	3861	472
891	3870	468
892	3880	464
893	3884	460
894	3888	456
895	3899	452
896	3903	448
897	3906	443
898	3913	439
899	3917	435
900	3924	431
901	3931	427
902	3935	422
903	3944	418
904	3949	414
905	3953	410
906	3963	406
907	3967	402
908	3976	398
909	3980	393
910	3985	389
911	3993	385
912	3998	380
913	4002	376
914	4011	372
915	4016	368
916	4024	364
917	4029	359
918	4045	356
919	4050	352
920	4060	348
921	4073	344
922	4078	340
923	4082	335
924	4088	331
925	4092	327
926	4095	322
927	4099	318
928	4105	313
929	4108	309
930	4111	304
931	4114	300
932	4119	295
933	4123	291
934	4127	286
935	4130	282
936	4137	278
937	4140	273
938	4143	269
939	4147	264
940	4152	260
941	4155	255
942	4158	251
943	4161	246
944	4167	242
945	4171	238
946	4175	233
947	4178	229
948	4184	224
949	4187	220
950	4190	215
951	4193	211
952	4199	207
953	4203	202
954	4206	198
955	4209	193
956	4215	189
957	4218	184
958	4222	180
959	4226	176
960	4233	171
961	4236	167
962	4240	162
963	4248	158
964	4252	154
965	4256	149
966	4263	145
967	4268	141
968	4272	136
969	4282	132
970	4286	128
971	4290	123
972	4298	119
973	4302	114
974	4306	110
975	4313	106
976	4317	101
977	4321	97
978	4328	92
979	4333	88
980	4337	84
981	4343	79
982	4347	75
983	4351	70
984	4356	66
985	4362	61
986	4365	57
987	4368	53
988	4374	48
989	4377	44
990	4380	39
991	4383	35
992	4389	30
993	4392	26
994	4395	22
995	4399	17
996	4402	13
997	4407	8
998	4410	4
999	4413	0
