iter	RMSE
308	7408.132322
309	7396.475738
310	7379.458491
311	7360.568905
312	7344.263791
313	7329.98796
314	7314.43124
315	7299.744292
316	7288.903485
317	7279.409862
318	7245.177819
319	7227.800993
320	7215.886102
321	7196.257697
322	7179.068921
323	7160.622202
324	7142.440708
325	7120.176892
326	7101.030532
327	7087.491762
328	7073.176166
329	7050.99649
330	7036.59116
331	7016.330039
332	6995.547348
333	6971.918262
334	6952.202611
335	6941.612785
336	6921.99752
337	6910.876078
338	6885.525227
339	6873.098155
340	6849.812186
341	6828.800061
342	6815.805018
343	6810.268592
344	6787.766952
345	6770.094184
346	6747.277151
347	6717.832978
348	6704.131264
349	6683.575099
350	6669.05941
351	6654.292176
352	6636.161153
353	6614.976649
354	6599.809903
355	6581.103921
356	6562.602762
357	6544.544091
358	6529.878633
359	6512.112928
360	6489.769648
361	6466.773936
362	6455.197146
363	6446.118101
364	6436.030953
365	6420.612489
366	6406.504081
367	6386.647811
368	6368.764867
369	6350.86042
370	6326.23523
371	6311.574806
372	6297.834965
373	6287.102902
374	6278.429059
375	6269.721785
376	6246.886396
377	6235.71572
378	6223.093913
379	6205.890284
380	6196.586689
381	6181.998916
382	6151.080418
383	6138.703941
384	6127.621468
385	6114.945789
386	6103.554286
387	6087.622615
388	6084.37324
389	6070.059033
390	6060.774646
391	6038.37282
392	6018.382681
393	6008.984328
394	5988.148457
395	5975.355494
396	5955.43274
397	5944.393559
398	5927.53211
399	5919.987408
400	5907.954202
401	5891.222638
402	5884.839586
403	5875.692099
404	5858.546432
405	5846.817921
406	5833.939159
407	5825.755268
408	5811.533523
409	5796.018825
410	5776.107937
411	5767.204173
412	5753.093631
413	5743.328686
414	5735.099529
415	5722.971543
416	5711.52101
417	5697.310333
418	5688.246935
419	5673.767429
420	5654.612319
421	5640.965676
422	5625.247712
423	5612.111897
424	5603.237192
425	5595.893201
426	5578.694193
427	5569.770413
428	5555.042773
429	5539.24132
430	5524.833322
431	5512.882527
432	5497.296823
433	5485.002178
434	5475.041084
435	5461.127156
436	5450.707984
437	5443.607163
438	5427.579383
439	5414.689629
440	5399.65829
441	5389.313369
442	5381.368311
443	5365.531879
444	5347.5833
445	5343.092423
446	5331.60951
447	5319.482345
448	5298.711336
449	5284.83796
450	5272.93647
451	5257.735746
452	5242.767836
453	5229.087818
454	5220.706289
455	5213.43089
456	5198.214168
457	5186.503578
458	5175.242742
459	5159.908243
460	5148.898052
461	5136.625762
462	5123.307731
463	5115.535679
464	5101.329923
465	5093.568537
466	5081.582089
467	5068.453978
468	5050.302605
469	5031.122948
470	5025.935152
471	5009.119193
472	4996.774144
473	4988.064611
474	4974.479554
475	4966.705968
476	4953.897178
477	4938.158023
478	4921.952529
479	4912.622043
480	4903.669149
481	4897.408929
482	4889.410127
483	4876.673503
484	4869.196756
485	4856.711205
486	4844.197571
487	4829.839516
488	4823.869356
489	4815.243795
490	4806.385793
491	4795.348128
492	4787.570923
493	4772.457253
494	4764.293365
495	4748.924845
496	4740.805534
497	4733.247875
498	4724.271405
499	4711.433898
500	4698.78653
501	4689.578583
502	4682.886529
503	4675.348329
504	4666.830924
505	4656.235989
506	4643.623871
507	4630.770295
508	4619.884499
509	4602.940975
510	4589.985445
511	4570.572825
512	4563.537363
513	4554.554303
514	4544.533392
515	4528.942204
516	4526.539454
517	4517.792104
518	4514.948685
519	4500.593417
520	4487.713779
521	4477.107338
522	4462.286654
523	4447.071236
524	4434.497812
525	4424.808223
526	4413.602836
527	4408.450268
528	4401.287868
529	4388.313026
530	4382.205478
531	4374.50428
532	4368.637512
533	4351.31133
534	4341.671641
535	4333.36077
536	4324.869366
537	4319.256723
538	4309.700423
539	4305.263189
540	4299.491967
541	4287.815701
542	4275.620581
543	4267.438191
544	4258.702884
545	4239.595457
546	4234.946662
547	4222.340773
548	4214.443048
549	4206.99862
550	4197.711706
551	4196.168995
552	4183.769934
553	4178.088999
554	4174.543746
555	4163.718989
556	4156.193973
557	4147.160792
558	4139.190771
559	4134.04992
560	4122.305785
561	4116.354543
562	4109.073497
563	4092.25034
564	4085.983091
565	4080.428326
566	4078.78107
567	4064.568648
568	4054.031891
569	4049.00994
570	4038.424566
571	4031.645539
572	4023.193856
573	4020.358392
574	4012.609775
575	4000.079634
576	3994.725919
577	3984.753536
578	3978.530391
579	3969.155641
580	3958.235617
581	3945.917708
582	3939.905774
583	3933.126672
584	3923.167232
585	3915.882877
586	3906.325084
587	3897.19992
588	3892.225059
589	3884.637849
590	3875.786704
591	3863.172756
592	3858.60297
593	3854.011432
594	3846.389431
595	3840.091304
596	3833.398708
597	3826.93764
598	3818.899487
599	3812.177406
600	3807.760297
601	3804.748051
602	3799.450614
603	3788.964504
604	3781.52086
605	3777.606877
606	3767.386966
607	3757.785141
608	3753.324477
609	3744.131075
610	3740.49411
611	3735.095346
612	3729.518844
613	3724.033304
614	3718.570814
615	3706.570442
616	3703.075781
617	3698.642354
618	3688.187424
619	3680.437511
620	3675.961891
621	3673.063412
622	3663.142467
623	3656.510342
624	3651.099747
625	3642.67284
626	3634.801037
627	3627.089934
628	3621.709373
629	3611.780312
630	3603.973137
631	3595.545453
632	3586.893542
633	3585.108967
634	3574.195443
635	3569.668273
636	3568.051053
637	3564.429335
638	3556.624008
639	3548.224117
640	3543.810901
641	3539.886605
642	3532.762731
643	3522.045894
644	3519.654503
645	3509.894512
646	3502.375238
647	3497.828128
648	3491.36626
649	3485.564235
650	3479.793583
651	3470.656716
652	3463.174748
653	3452.88149
654	3450.167261
655	3443.288153
656	3437.282284
657	3426.702532
658	3416.538088
659	3411.412336
660	3408.185721
661	3403.877932
662	3394.617076
663	3390.00273
664	3382.282802
665	3375.44286
666	3364.52027
667	3360.27585
668	3356.92794
669	3347.127492
670	3340.557773
671	3332.808676
672	3328.892608
673	3322.929239
674	3316.666696
675	3314.236822
676	3310.557867
677	3302.120849
678	3292.120648
679	3285.834797
680	3278.363265
681	3270.002382
682	3264.822108
683	3259.64776
684	3255.843714
685	3248.497862
686	3241.59938
687	3235.316942
688	3225.825489
689	3220.269394
690	3216.25667
691	3208.651541
692	3203.753916
693	3194.261171
694	3188.63879
695	3179.639107
696	3174.368745
697	3167.635127
698	3164.819397
699	3157.372346
700	3154.295573
701	3149.22626
702	3140.0625
703	3132.871985
704	3127.410044
705	3121.881647
706	3118.338127
707	3114.853031
708	3111.149323
709	3106.165172
710	3097.673519
711	3095.775887
712	3090.652645
713	3086.121789
714	3077.57598
715	3070.178959
716	3066.214464
717	3057.091464
718	3054.36675
719	3050.514809
720	3046.295492
721	3037.473073
722	3030.050582
723	3024.92946
724	3014.588257
725	3010.680107
726	3005.071388
727	3000.645334
728	2993.561724
729	2981.851797
730	2975.396495
731	2973.295322
732	2968.536876
733	2963.740847
734	2958.072895
735	2955.634584
736	2951.343581
737	2944.016155
738	2938.688706
739	2935.8593
740	2928.756479
741	2920.932004
742	2919.528086
743	2910.973709
744	2901.850474
745	2897.935821
746	2893.885714
747	2889.104698
748	2885.407174
749	2880.999158
750	2875.03923
751	2866.497847
752	2861.891145
753	2858.387174
754	2850.016149
755	2846.236214
756	2840.761855
757	2838.300968
758	2832.980759
759	2826.885064
760	2823.491779
761	2820.200648
762	2814.006432
763	2810.753118
764	2805.953727
765	2801.795521
766	2796.889938
767	2793.854478
768	2790.002025
769	2782.114261
770	2775.834446
771	2768.140884
772	2766.438622
773	2763.184695
774	2754.365856
775	2748.507938
776	2744.759768
777	2743.052059
778	2735.797081
779	2728.803283
780	2723.673431
781	2718.662017
782	2714.656243
783	2710.240632
784	2703.941304
785	2700.700989
786	2699.155345
787	2689.921792
788	2682.630758
789	2680.24027
790	2674.956892
791	2668.400015
792	2662.273171
793	2659.158142
794	2653.221256
795	2646.575011
796	2638.405232
797	2635.420945
798	2627.791282
799	2622.013524
800	2619.455298
801	2614.806042
802	2609.716581
803	2608.442667
804	2604.739715
805	2598.598684
806	2594.840192
807	2587.676888
808	2580.911738
809	2575.123063
810	2572.835355
811	2568.563211
812	2564.322296
813	2560.508956
814	2553.745273
815	2549.253308
816	2546.757043
817	2542.615913
818	2537.502992
819	2530.953092
820	2524.67718
821	2521.955104
822	2514.90456
823	2511.266459
824	2506.117528
825	2501.462383
826	2497.185075
827	2490.53943
828	2486.898732
829	2481.360503
830	2477.043479
831	2472.935572
832	2470.130043
833	2464.151628
834	2459.077033
835	2451.084263
836	2444.984294
837	2440.386272
838	2432.097477
839	2425.814639
840	2422.895852
841	2417.324877
842	2412.79991
843	2409.237419
844	2404.899923
845	2399.689915
846	2397.3207
847	2392.044321
848	2388.082424
849	2385.549046
850	2377.958612
851	2375.969517
852	2369.259391
853	2365.996048
854	2363.041252
855	2360.251012
856	2353.23608
857	2347.784635
858	2343.893283
859	2338.526042
860	2336.724448
861	2334.996155
862	2331.555085
863	2324.080219
864	2320.647333
865	2314.790909
866	2310.846675
867	2304.337958
868	2299.956895
869	2295.764446
870	2291.625876
871	2287.36526
872	2282.229431
873	2276.227314
874	2269.008823
875	2265.190597
876	2261.913447
877	2258.132009
878	2255.531141
879	2247.706534
880	2243.591029
881	2240.637846
882	2237.285821
883	2232.579201
884	2225.312302
885	2222.555309
886	2219.519908
887	2214.056995
888	2211.197624
889	2206.037661
890	2199.460482
891	2196.519433
892	2192.089342
893	2188.34561
894	2184.625448
895	2180.286463
896	2176.826166
897	2174.964798
898	2172.63141
899	2167.369485
900	2159.821593
901	2158.151854
902	2154.157431
903	2150.630268
904	2145.170834
905	2139.789452
906	2134.002571
907	2130.482912
908	2125.876532
909	2121.632798
910	2119.704016
911	2116.31958
912	2114.031124
913	2112.419717
914	2108.283601
915	2104.157624
916	2100.143205
917	2097.105294
918	2093.503599
919	2090.327018
920	2088.343784
921	2086.588276
922	2084.300952
923	2081.117725
924	2076.745624
925	2073.818761
926	2068.379285
927	2065.831501
928	2061.001752
929	2058.646915
930	2055.954558
931	2053.5438
932	2048.498296
933	2045.562244
934	2044.955112
935	2040.615297
936	2034.914917
937	2031.203628
938	2028.509682
939	2027.056867
940	2024.41557
941	2022.895778
942	2018.396447
943	2013.493082
944	2009.154077
945	2005.77167
946	2000.278881
947	1996.480917
948	1993.544412
949	1990.045806
950	1985.968486
951	1980.975634
952	1979.184862
953	1975.642202
954	1973.534786
955	1973.018464
956	1968.207594
957	1966.617248
958	1963.467224
959	1960.632834
960	1957.21659
961	1954.271959
962	1951.434497
963	1947.889065
964	1944.810832
965	1940.942877
966	1937.050308
967	1935.077044
968	1931.160969
969	1926.202957
970	1924.326334
971	1919.289804
972	1916.447591
973	1913.000912
974	1908.211741
975	1907.577476
976	1904.686565
977	1902.941497
978	1899.792761
979	1897.934083
980	1896.368091
981	1894.49818
982	1890.157131
983	1886.812523
984	1883.246273
985	1881.853604
986	1880.449123
987	1879.596589
988	1877.760275
989	1875.327257
990	1872.74651
991	1868.544433
992	1862.179362
993	1859.246652
994	1855.022121
995	1850.627134
996	1846.786335
997	1843.739964
998	1842.19916
999	1840.147557
